0.35,0.265,0.09,0.2255,0.07,7
0.44,0.365,0.125,0.516,0.155,10
0.475,0.37,0.125,0.5095,0.165,9
0.43,0.35,0.11,0.406,0.135,10
0.49,0.38,0.135,0.5415,0.19,11
0.5,0.4,0.13,0.6645,0.24,12
0.365,0.295,0.08,0.2555,0.1,7
0.45,0.32,0.1,0.381,0.115,9
0.355,0.28,0.095,0.2455,0.075,11
0.59,0.445,0.14,0.931,0.28,12
0.605,0.475,0.18,0.9365,0.295,15
0.575,0.425,0.14,0.8635,0.2,11
0.58,0.47,0.165,0.9975,0.33,10
0.665,0.525,0.165,1.338,0.35,18
0.465,0.355,0.105,0.4795,0.125,8
0.355,0.29,0.09,0.3275,0.09,9
0.47,0.37,0.12,0.5795,0.14,9
0.4,0.32,0.095,0.303,0.1,7
0.485,0.36,0.13,0.5415,0.16,10
0.405,0.31,0.1,0.385,0.11,7
0.445,0.35,0.12,0.4425,0.135,8
0.47,0.385,0.135,0.5895,0.17,8
0.45,0.345,0.105,0.4115,0.135,7
0.505,0.405,0.11,0.625,0.175,9
0.425,0.325,0.095,0.3785,0.1,7
0.52,0.4,0.12,0.58,0.185,8
0.475,0.355,0.12,0.48,0.135,8
0.555,0.425,0.13,0.7665,0.275,13
0.57,0.48,0.175,1.185,0.38,11
0.595,0.475,0.14,0.944,0.315,9
0.62,0.51,0.175,1.615,0.675,12
0.595,0.475,0.16,1.3175,0.58,21
0.58,0.45,0.14,1.013,0.36,14
0.625,0.465,0.14,1.195,0.4,13
0.56,0.44,0.16,0.8645,0.26,10
0.565,0.425,0.135,0.8115,0.255,15
0.555,0.44,0.15,0.755,0.26,12
0.595,0.465,0.175,1.115,0.39,13
0.695,0.56,0.19,1.494,0.485,15
0.665,0.535,0.195,1.606,0.48,14
0.535,0.435,0.15,0.725,0.25,9
0.47,0.375,0.13,0.523,0.145,8
0.47,0.37,0.13,0.5225,0.165,7
0.55,0.435,0.145,0.843,0.255,15
0.53,0.435,0.16,0.883,0.335,15
0.53,0.415,0.14,0.724,0.205,10
0.605,0.47,0.16,1.1735,0.345,12
0.495,0.395,0.125,0.5415,0.155,9
0.465,0.36,0.105,0.431,0.175,9
0.425,0.35,0.105,0.393,0.165,9
0.44,0.34,0.105,0.402,0.165,10
0.405,0.305,0.085,0.2605,0.085,8
0.37,0.265,0.075,0.214,0.07,6
0.7,0.535,0.16,1.7255,0.54,19
0.71,0.54,0.165,1.959,0.78,18
0.595,0.48,0.165,1.262,0.41,17
0.345,0.255,0.09,0.2005,0.063,9
0.375,0.285,0.095,0.253,0.0925,9
0.65,0.52,0.19,1.3445,0.4465,16
0.56,0.455,0.155,0.797,0.2425,11
0.475,0.375,0.13,0.5175,0.17,10
0.46,0.35,0.12,0.515,0.1565,10
0.59,0.475,0.145,1.053,0.325,15
0.515,0.405,0.13,0.722,0.21,10
0.645,0.485,0.215,1.514,0.635,16
0.605,0.465,0.165,1.056,0.34,13
0.61,0.485,0.175,1.2445,0.345,12
0.725,0.57,0.19,2.55,0.725,14
0.705,0.56,0.22,1.981,0.76,14
0.695,0.55,0.215,1.9565,0.59,14
0.525,0.435,0.155,1.065,0.285,8
0.58,0.475,0.15,0.97,0.35,11
0.57,0.48,0.18,0.9395,0.295,14
0.64,0.51,0.175,1.368,0.57,21
0.62,0.49,0.19,1.218,0.355,13
0.615,0.48,0.18,1.1595,0.325,13
0.61,0.485,0.17,1.0225,0.36,12
0.58,0.45,0.15,0.927,0.36,14
0.5,0.405,0.155,0.772,0.245,12
0.64,0.5,0.185,1.3035,0.465,16
0.56,0.45,0.16,0.922,0.26,15
0.585,0.46,0.185,0.922,0.285,10
0.5,0.4,0.165,0.825,0.285,13
0.42,0.335,0.115,0.369,0.12,8
0.335,0.25,0.09,0.181,0.06,7
0.5,0.405,0.14,0.6155,0.205,9
0.55,0.405,0.14,0.8025,0.255,10
0.45,0.35,0.13,0.46,0.135,8
0.47,0.36,0.135,0.501,0.165,10
0.555,0.445,0.135,0.836,0.275,13
0.565,0.44,0.175,0.9025,0.325,14
0.625,0.505,0.215,1.4455,0.435,22
0.565,0.425,0.16,0.9425,0.275,17
0.59,0.47,0.18,1.1235,0.36,13
0.6,0.495,0.165,1.2415,0.34,15
0.56,0.45,0.175,1.011,0.37,15
0.56,0.45,0.185,1.07,0.41,19
0.545,0.46,0.16,0.8975,0.345,10
0.53,0.42,0.165,0.8945,0.245,11
0.27,0.2,0.08,0.1205,0.04,6
0.52,0.45,0.15,0.895,0.235,14
0.35,0.275,0.11,0.2925,0.0905,8
0.47,0.39,0.15,0.6355,0.255,9
0.59,0.5,0.2,1.187,0.37,16
0.62,0.485,0.205,1.219,0.385,14
0.63,0.505,0.225,1.525,0.45,15
0.63,0.515,0.155,1.259,0.41,13
0.655,0.54,0.215,1.844,0.585,22
0.61,0.5,0.24,1.642,0.69,18
0.635,0.525,0.205,1.484,0.43,20
0.485,0.395,0.14,0.6295,0.225,14
0.515,0.38,0.175,0.9565,0.31,14
0.53,0.435,0.155,0.699,0.205,10
0.44,0.355,0.125,0.4775,0.19,9
0.54,0.435,0.18,0.996,0.325,17
0.61,0.475,0.165,1.116,0.315,15
0.6,0.495,0.195,1.0575,0.375,26
0.49,0.395,0.14,0.549,0.15,11
0.37,0.28,0.105,0.234,0.075,9
0.37,0.28,0.1,0.252,0.074,8
0.36,0.27,0.1,0.217,0.0715,6
0.645,0.515,0.24,1.5415,0.535,13
0.55,0.41,0.125,0.7605,0.195,14
0.57,0.435,0.145,0.9055,0.275,10
0.56,0.44,0.14,0.971,0.265,14
0.595,0.455,0.195,1.3305,0.345,19
0.63,0.485,0.175,1.3,0.46,23
0.45,0.35,0.1,0.3675,0.12,10
0.385,0.31,0.1,0.2845,0.1,11
0.335,0.265,0.105,0.222,0.075,7
0.51,0.4,0.13,0.6435,0.205,12
0.36,0.295,0.105,0.241,0.095,8
0.5,0.38,0.155,0.5955,0.2,12
0.62,0.465,0.19,1.3415,0.355,11
0.6,0.475,0.19,1.0875,0.325,14
0.59,0.45,0.185,1.283,0.425,16
0.62,0.475,0.185,1.325,0.33,13
0.575,0.455,0.145,1.165,0.3,14
0.62,0.465,0.185,1.274,0.32,12
0.49,0.39,0.14,0.707,0.18,13
0.61,0.48,0.15,1.2,0.28,14
0.57,0.46,0.14,0.9535,0.245,12
0.58,0.455,0.17,0.93,0.22,9
0.635,0.515,0.17,1.275,0.34,16
0.7,0.58,0.205,2.13,0.58,20
0.675,0.525,0.185,1.587,0.395,13
0.745,0.585,0.215,2.499,0.7,17
0.605,0.49,0.18,1.227,0.35,18
0.63,0.515,0.16,1.016,0.355,19
0.58,0.465,0.145,0.887,0.265,11
0.63,0.49,0.18,1.13,0.315,12
0.685,0.52,0.15,1.343,0.4,13
0.63,0.49,0.19,1.1775,0.285,11
0.565,0.465,0.175,0.995,0.37,15
0.605,0.47,0.18,1.1405,0.385,15
0.535,0.42,0.145,0.791,0.25,10
0.485,0.4,0.135,0.663,0.2,10
0.47,0.375,0.12,0.5565,0.195,12
0.545,0.425,0.135,0.8445,0.235,10
0.54,0.42,0.155,0.7385,0.215,12
0.46,0.38,0.135,0.482,0.145,10
0.49,0.42,0.125,0.609,0.22,14
0.475,0.375,0.125,0.593,0.18,10
0.47,0.38,0.145,0.5865,0.185,8
0.535,0.44,0.15,0.6765,0.26,12
0.585,0.455,0.15,0.987,0.31,11
0.515,0.455,0.135,0.7225,0.235,9
0.45,0.355,0.115,0.479,0.15,8
0.59,0.485,0.12,0.911,0.29,16
0.555,0.45,0.145,0.915,0.285,11
0.57,0.44,0.095,0.827,0.235,8
0.59,0.5,0.165,1.1045,0.34,15
0.585,0.475,0.12,0.945,0.28,14
0.545,0.44,0.12,0.8565,0.24,12
0.63,0.515,0.165,1.352,0.45,20
0.545,0.41,0.14,0.625,0.235,13
0.58,0.45,0.175,1.068,0.32,13
0.6,0.5,0.16,1.015,0.33,19
0.6,0.47,0.155,1.036,0.325,20
0.565,0.455,0.17,0.9065,0.32,18
0.545,0.42,0.14,0.7505,0.255,22
0.5,0.41,0.15,0.662,0.22,11
0.39,0.3,0.09,0.3055,0.085,9
0.5,0.415,0.165,0.6885,0.25,13
0.565,0.435,0.185,0.9815,0.39,13
0.565,0.455,0.185,0.9265,0.375,16
0.605,0.5,0.175,1.098,0.375,12
0.725,0.565,0.215,1.891,0.58,16
0.575,0.47,0.14,0.8375,0.24,11
0.38,0.285,0.1,0.2665,0.075,11
0.655,0.53,0.195,1.388,0.41,13
0.675,0.555,0.2,1.4385,0.465,21
